pathway	gene1	gene2
hsa04010	GNA12	RASA2
hsa04010	RAPGEF2	RRAS2
hsa04010	RASGRF1	RRAS2
hsa04010	RASGRP1	RRAS2
hsa04010	RAP1A	BRAF
hsa04010	TNF	TNFRSF1A
hsa04010	IL1A	IL1R1
hsa04010	FASLG	FAS
hsa04010	TGFB1	TGFBR1
hsa04010	FAS	DAXX
hsa04010	TGFBR1	DAXX
hsa04010	GRB2	CSF1R
hsa04010	SOS1	GRB2
hsa04010	TAB2	TRAF6
hsa04010	ECSIT	TRAF6
hsa04010	SRF	ELK1
hsa04010	SRF	ELK4
hsa04010	LAMTOR3	MAP2K1
hsa04010	LAMTOR3	MAP2K2
hsa04010	MAPK1	LAMTOR3
hsa04010	MAPK8IP2	MAPK8
hsa04010	MAPK8IP2	MAP2K7
hsa04010	MAPK8IP2	MAP3K11
hsa04010	MAPK8IP2	MAP4K1
hsa04010	MAPK8	MAPK8IP3
hsa04010	MAP2K4	MAPK8IP3
hsa04010	MAP2K7	MAPK8IP3
hsa04010	MAPK8IP3	MAP3K1
hsa04010	MAP3K11	MAPK8IP3
hsa04010	MAPK8	CRK
hsa04010	MAP2K4	CRK
hsa04010	MAP2K4	FLNA
hsa04010	MAP2K4	ARRB1
hsa04010	PRKACA	RAP1A
hsa04010	PRKCA	RRAS2
hsa04010	PRKCA	RAF1
hsa04010	SOS1	RRAS2
hsa04010	RRAS2	BRAF
hsa04010	RRAS2	RAF1
hsa04010	BRAF	MAP2K1
hsa04010	BRAF	MAP2K2
hsa04010	RAF1	MAP2K1
hsa04010	RAF1	MAP2K2
hsa04010	MAP2K1	MAPK1
hsa04010	MAP2K2	MAPK1
hsa04010	MAPK1	MAPT
hsa04010	MAPK1	STMN1
hsa04010	MAPK1	PLA2G4B
hsa04010	MAPK1	MKNK2
hsa04010	MAPK1	RPS6KA6
hsa04010	MAPK1	ELK1
hsa04010	MAPK1	ELK4
hsa04010	MKNK2	ATF4
hsa04010	RPS6KA6	ATF4
hsa04010	MAPK1	MYC
hsa04010	RAC1	MAP3K1
hsa04010	RAC1	PAK1
hsa04010	CASP3	STK3
hsa04010	TRAF2	MAP4K2
hsa04010	TRAF2	MAP3K5
hsa04010	TRAF2	MAP3K1
hsa04010	DAXX	MAP3K5
hsa04010	GADD45G	MAP3K4
hsa04010	PAK1	MAP3K2
hsa04010	MAP4K1	MAP3K11
hsa04010	MAP4K4	MAP3K1
hsa04010	MAP4K3	MAP3K1
hsa04010	MAP3K12	MAP2K7
hsa04010	MAP3K13	MAP2K7
hsa04010	MAP3K20	MAP2K7
hsa04010	MAP3K5	MAP2K3
hsa04010	MAP3K5	MAP2K6
hsa04010	MAP3K7	MAP3K14
hsa04010	MAP3K7	CHUK
hsa04010	MAP3K7	MAP2K3
hsa04010	MAP3K7	MAP2K6
hsa04010	MAP3K7	NLK
hsa04010	MAP3K6	MAP2K3
hsa04010	MAP3K6	MAP2K6
hsa04010	MAP2K3	MAPK14
hsa04010	MAP2K6	MAPK14
hsa04010	MAPK14	ATF2
hsa04010	MAPK14	ELK1
hsa04010	MAPK14	TP53
hsa04010	MAPK14	ELK4
hsa04010	MAPK14	DDIT3
hsa04010	MAPK14	MAX
hsa04010	MAPK14	MEF2C
hsa04010	MAPK14	MAPKAPK5
hsa04010	MAPK14	MAPKAPK3
hsa04010	MAPK14	RPS6KA4
hsa04010	MAPK14	CDC25B
hsa04010	MAPKAPK5	HSPB1
hsa04010	MAPKAPK3	HSPB1
hsa04010	MAPKAPK3	ATF4
hsa04010	RPS6KA4	ATF4
hsa04010	MAP2K5	MAPK7
hsa04010	MAPK7	NR4A1
hsa04010	MAP3K8	MAP3K14
hsa04010	MAP3K8	CHUK
hsa04010	MAP3K8	MAP2K1
hsa04010	MAP3K8	MAP2K2
hsa04010	MAP3K1	CHUK
hsa04010	MAP3K1	MAP2K4
hsa04010	MAP3K11	MAP2K7
hsa04010	MAP3K1	MAP2K1
hsa04010	MAP3K1	MAP2K2
hsa04010	MAP2K4	MAPK8
hsa04010	MAP2K7	MAPK8
hsa04010	MAPK8	FOS
hsa04010	MAPK8	JUND
hsa04010	MAPK8	ELK1
hsa04010	MAPK8	TP53
hsa04010	MAPK8	NFATC1
hsa04010	MAPK8	NFATC1
hsa04010	MAPK8	NFATC3
hsa04010	MAPK8	NFATC3
hsa04010	PPP3CA	NFATC1
hsa04010	AKT3	MAP3K5
hsa04010	AKT3	MAP3K5
hsa04010	AKT3	MAP2K4
hsa04010	AKT3	MAP2K4
hsa04010	PPP3CA	NFATC3
hsa04010	RASA2	RRAS2
hsa04010	NF1	RRAS2
hsa04010	RASA1	RRAS2
hsa04010	DUSP3	MAPK1
hsa04010	DUSP3	MAPK1
hsa04010	DUSP10	MAPK1
hsa04010	DUSP10	MAPK1
hsa04010	DUSP10	MAPK8
hsa04010	DUSP10	MAPK8
hsa04010	DUSP10	MAPK14
hsa04010	DUSP10	MAPK14
hsa04010	DUSP3	MAPK8
hsa04010	DUSP3	MAPK8
hsa04010	DUSP3	MAPK14
hsa04010	DUSP3	MAPK14
hsa04010	PPM1A	MAP2K3
hsa04010	PPM1A	MAP2K3
hsa04010	PPM1A	MAP2K6
hsa04010	PPM1A	MAP2K6
hsa04010	PPM1A	MAP2K7
hsa04010	PPM1A	MAP2K7
hsa04010	PPM1A	MAP2K4
hsa04010	PPM1A	MAP2K4
hsa04010	PPP5D1...	MAP3K5
hsa04010	PPP5D1...	MAP3K5
hsa04010	PPM1B	MAP3K7
hsa04010	PPM1B	MAP3K7
hsa04010	MECOM	MAPK8
hsa04010	HSPA1A	MAPK8
hsa04010	CD14	TAB1
hsa04010	MAP3K14	NFKB1
hsa04010	CHUK	NFKB1
hsa04010	CACNG3...	RASGRF1
hsa04010	CACNG3...	RASGRP1
hsa04010	C00338	CD14
hsa04010	C00575	RAPGEF2
hsa04010	C00165	PRKCA
hsa04010	C00165	PRKACA
hsa04010	C00575	PRKACA
hsa04010	CASP3	PAK1
hsa04010	CASP3	MAP3K1
hsa04010	MAP3K14	CHUK
hsa04010	TAB1	MAP3K7
hsa04010	TAB2	MAP3K7
hsa04010	TRADD	TRAF2
hsa04010	TRADD	CASP3
hsa04010	TRADD	CASP3
hsa04010	IL1R1	MYD88
hsa04010	MYD88	IRAK1
hsa04010	TRAF2	TAB1
hsa04010	IRAK1	TRAF6
hsa04010	IRAK1	TRAF6
hsa04010	TRAF6	TAB1
hsa04010	CSF1	CSF1R
hsa04010	RRAS2	ARAF
hsa04010	ARAF	MAP2K1
hsa04010	ARAF	MAP2K1
hsa04010	ARAF	MAP2K2
hsa04010	ARAF	MAP2K2
hsa04010	MAP3K4	MAP2K3
hsa04010	MAP3K4	MAP2K3
hsa04010	MAP3K4	MAP2K6
hsa04010	MAP3K4	MAP2K6
hsa04010	TAOK3	MAP2K3
hsa04010	TAOK3	MAP2K3
hsa04010	TAOK3	MAP2K6
hsa04010	TAOK3	MAP2K6
hsa04141	SEC31A	SEC24B
hsa04141	SEC31A	SAR1B
hsa04141	EIF2AK1	EIF2S1
hsa04141	EIF2AK1	EIF2S1
hsa04141	EIF2S1	ATF4
hsa04141	EIF2AK1	NFE2L2
hsa04141	NFE2L2	DDIT3
hsa04141	ATF4	DDIT3
hsa04141	ATF6B	DDIT3
hsa04141	ERN1	TRAF2
hsa04141	TRAF2	MAP3K5
hsa04141	MAP3K5	MAP2K7
hsa04141	MAP2K7	MAPK8
hsa04141	CAPN1	CASP12
hsa04141	ERN1	XBP1
hsa04141	XBP1	DDIT3
hsa04141	ATF4	PPP1R15A
hsa04141	PPP1R15A	EIF2S1
hsa04141	PPP1R15A	EIF2S1
hsa04141	DDIT3	BCL2
hsa04141	BCL2	BAK1
hsa04141	ERO1A	PDIA6
hsa04141	NPLOC4	VCP
hsa04141	PREB	SAR1B
hsa04141	SVIP	NSFL1C
hsa04141	SVIP	VCP
hsa04141	WFS1	ATF6B
hsa04141	NPLOC4	UFD1
hsa04141	SVIP	NPLOC4
hsa04141	BAK1	CAPN1
hsa04141	NSFL1C	VCP
hsa04144	RNF41	EGFR
hsa04144	RBSN	RAB4A
hsa04144	RAB4A	RUFY1
hsa04144	EHD3	RBSN
hsa04144	RBSN	EHD1
hsa04144	EHD1	RAB11FIP2
hsa04144	RAB11FIP2	RAB11A
hsa04144	MVB12B	PDCD6IP
hsa04144	CHMP4B	PDCD6IP
hsa04144	HGS	STAM2
hsa04144	VPS4A	VTA1
hsa04144	CHMP5	VPS4A
hsa04144	CHMP1A	CHMP2B
hsa04144	CHMP7	CHMP4B
hsa04144	TGFBR1	SMAD2
hsa04144	SRC	CAV1
hsa04144	RHOA	IL2RA
hsa04144	VPS45	RBSN
hsa04213	INS	INSR
hsa04213	INSR	IRS1
hsa04213	IRS1	PIK3CA
hsa04213	PIK3CA	C05981
hsa04213	C05981	AKT3
hsa04213	AKT3	ADCY1
hsa04213	ADCY1	C00575
hsa04213	C00575	PRKACA
hsa04213	IGF1	IGF1R
hsa04213	IGF1R	HRAS
hsa04213	HRAS	PIK3CA
hsa04213	IGF1	IGF1R
hsa04213	IGF1R	IRS1
hsa04213	IRS1	PIK3CA
hsa04213	IGF1R	PIK3CA
hsa04213	PIK3CA	C05981
hsa04213	C05981	AKT3
hsa04213	INSR	IRS1
hsa04213	IRS1	PIK3CA
hsa04213	INSR	PIK3CA
hsa04213	PIK3CA	C05981
hsa04213	C05981	AKT3
hsa04213	C00575	PRKACA
hsa04213	SIRT1	FOXO3
hsa04213	SIRT1	FOXO1
hsa04213	PRKACA	FOXO1
hsa04213	PRKACA	FOXO1
hsa04213	AKT3	FOXO1
hsa04213	AKT3	FOXO1
hsa04213	AKT3	FOXO3
hsa04213	AKT3	FOXO3
hsa04213	AKT3	FOXO3
hsa04213	AKT3	FOXO3
hsa04213	AKT3	MTOR
hsa04213	AKT3	MTOR
hsa04213	MTOR	RPS6KB1
hsa04213	MTOR	RPS6KB1
hsa04213	AKT3	MTOR
hsa04213	AKT3	MTOR
hsa04213	MTOR	RPS6KB1
hsa04213	MTOR	RPS6KB1
hsa04213	AKT3	MTOR
hsa04213	AKT3	MTOR
hsa04213	MTOR	RPS6KB1
hsa04213	MTOR	RPS6KB1
hsa04213	AKT3	PRKAG2
hsa04213	AKT3	PRKAG2
hsa04213	PRKAG2	MTOR
hsa04213	PRKAG2	MTOR
hsa04213	MTOR	EIF4EBP2
hsa04213	RPS6KB1	FOXA2
hsa04213	HDAC1	SIRT1
hsa04213	HDAC1	SIRT1
hsa04213	FOXO1	SOD2
hsa04213	FOXO1	CAT
hsa04213	FOXO1	ATG5
hsa04213	FOXO3	SOD1
hsa04213	FOXO3	CRYAB
hsa04213	EIF4EBP2	SOD1
hsa04213	EIF4EBP2	CRYAB
hsa04213	FOXO3	SOD2
hsa04213	FOXO3	CAT
hsa04213	FOXA2	SOD2
hsa04213	FOXA2	CAT
hsa04612	HLA-A	HLA-A
hsa04612	HLA-A	HLA-A
hsa04612	HLA-A	HLA-A
hsa04612	HLA-A	HLA-A
hsa04612	HLA-DMA	HLA-DMA
hsa04612	HLA-DMA	HLA-DMA
hsa04612	CD74	CD74
hsa04612	CD74	CD74
hsa04612	CD74	CD74
hsa04612	IFNG	PSME3
hsa04612	TNF	PSME3
hsa04612	CIITA	RFX5...
hsa04612	CIITA	CREB1
hsa04612	CIITA	NFYA
hsa04612	HLA-A	KIR2DS2
hsa04612	CD8A	HLA-A
hsa04612	CD4	HLA-DMA
hsa04612	HLA-DMA	CD74
hsa04612	CTSB	CD74
hsa04612	LGMN	CD74
hsa04612	TAPBP	HLA-A
hsa04612	TAPBP	TAP1
hsa04915	C00951	ESR1
hsa04915	C00951	ESR1
hsa04915	ESR1	FOS
hsa04915	C00951	GPER1
hsa04915	GPER1	GNAS
hsa04915	GNAS	SRC
hsa04915	SRC	MMP2
hsa04915	MMP2	HBEGF
hsa04915	HBEGF	HBEGF
hsa04915	GNAS	ADCY1
hsa04915	ADCY1	C00575
hsa04915	C00575	PRKACA
hsa04915	HBEGF	EGFR
hsa04915	EGFR	SHC2
hsa04915	SHC2	GRB2
hsa04915	GRB2	SOS1
hsa04915	SOS1	HRAS
hsa04915	HRAS	RAF1
hsa04915	RAF1	MAP2K1
hsa04915	MAP2K1	MAPK1
hsa04915	EGFR	PIK3CA
hsa04915	C00334	GABBR1
hsa04915	GABBR1	GNAI1
hsa04915	GNAI1	KCNJ3
hsa04915	OPRM1	GNAI1
hsa04915	GNAI1	KCNJ3
hsa04915	ADCY1	C00575
hsa04915	C00575	PRKACA
hsa04915	GNAQ	PLCB1
hsa04915	PLCB1	C00165
hsa04915	C00165	PRKCD
hsa04915	PRKCD	ADCY1
hsa04915	PLCB1	C01245
hsa04915	C01245	ITPR1
hsa04915	C00076	CALML6
hsa04915	CALML6	NOS3
hsa04915	GRM1	GNAQ
hsa04915	C00951	ESR1
hsa04915	ESR1	SRC
hsa04915	SRC	PIK3CA
hsa04915	AKT3	NOS3
hsa04915	NOS3	C00533
hsa04915	C00533	CREB3
hsa04915	SRC	HRAS
hsa04915	HRAS	RAF1
hsa04915	RAF1	MAP2K1
hsa04915	MAP2K1	MAPK1
hsa04915	PRKACA	RAF1
hsa04915	PRKACA	KCNJ3
hsa04915	PIK3CA	AKT3
hsa04915	PIK3CA	AKT3
hsa04915	PIK3CA	AKT3
hsa04915	PIK3CA	AKT3
hsa04915	MAPK1	ESR1
hsa04915	MAPK1	ESR1
hsa04915	MAPK1	ESR1
hsa04915	MAPK1	ESR1
hsa04915	MAPK1	CREB3
hsa04915	MAPK1	CREB3
hsa04915	PRKACA	CREB3
hsa04915	PRKACA	CREB3
hsa04915	MAPK1	CREB3
hsa04915	MAPK1	CREB3
hsa04915	POMC	OPRM1
hsa05134	APAF1	CASP9
hsa05134	CYCS	CASP9
hsa05134	CASP9	CASP3
hsa05134	EEF1A1	HSF1
hsa05134	CASP1	IL18
hsa05134	CASP1	IL1B
hsa05134	NAIP	CASP7
hsa05134	NAIP	CASP7
hsa05134	NAIP	CASP1
hsa05134	NAIP	CASP1
hsa05134	CASP1	CASP7
hsa05134	CASP1	CASP7
hsa05134	CD14	TLR2
hsa05134	CD14	TLR4
hsa05134	TLR5	MYD88
hsa05134	TLR2	MYD88
hsa05134	TLR4	MYD88
hsa05134	C3	CR1
hsa05134	NFKBIA	NFKB1
hsa05134	HSF1	HSPA1A
hsa05134	MYD88	TNF
hsa05134	MYD88	TNF
hsa05134	MYD88	IL1B
hsa05134	MYD88	IL1B
hsa05134	MYD88	IL6
hsa05134	MYD88	IL6
hsa05134	MYD88	IL12A
hsa05134	MYD88	IL12A
hsa05134	MYD88	CXCL8
hsa05134	MYD88	CXCL8
hsa05134	MYD88	CXCL1
hsa05134	MYD88	CXCL1
hsa05145	IFNG	IFNGR1
hsa05145	IFNGR1	JAK1
hsa05145	JAK1	STAT1
hsa05145	JAK1	STAT1
hsa05145	STAT1	CIITA
hsa05145	SOCS1	JAK1
hsa05145	SOCS1	JAK1
hsa05145	MYD88	IRAK1
hsa05145	IRAK1	TRAF6
hsa05145	MAP3K7	MAP2K3
hsa05145	MAP3K7	MAP2K3
hsa05145	MAP2K3	MAPK14
hsa05145	MAP2K3	MAPK14
hsa05145	MAP3K7	MAPK8
hsa05145	MAP3K7	MAPK8
hsa05145	MAP3K7	MAPK8
hsa05145	MAP3K7	MAPK1
hsa05145	MAP3K7	MAPK1
hsa05145	MAP3K7	MAPK1
hsa05145	MAP3K7	CHUK
hsa05145	MAP3K7	CHUK
hsa05145	CHUK	NFKBIA
hsa05145	CHUK	NFKBIA
hsa05145	NFKBIA	NFKB1
hsa05145	LY96	TLR4
hsa05145	TLR4	MYD88
hsa05145	HSPA1A	TLR2
hsa05145	TLR2	MYD88
hsa05145	LAMC3	ITGA6
hsa05145	TNF	TNFRSF1A
hsa05145	TNFRSF1A	CASP8
hsa05145	TNFRSF1A	CASP8
hsa05145	CYCS	CASP9
hsa05145	CASP9	CASP3
hsa05145	CASP8	CASP3
hsa05145	GNAI1	PIK3R6
hsa05145	GNAI1	PIK3R6
hsa05145	PIK3R6	PDPK1
hsa05145	PIK3R6	PDPK1
hsa05145	PDPK1	AKT3
hsa05145	PDPK1	AKT3
hsa05145	AKT3	BAD
hsa05145	AKT3	BAD
hsa05145	CD40LG	CD40
hsa05145	PPIF	CCR5
hsa05145	CCR5	GNAI1
hsa05145	IL10	IL10RA
hsa05145	IL10RA	JAK1
hsa05145	JAK1	STAT3
hsa05145	JAK1	STAT3
hsa05145	BIRC8	CASP9
hsa05145	BIRC8	CASP3
hsa05145	CIITA	HLA-DMA
hsa05145	STAT1	IRGM
hsa05145	STAT1	NOS2
hsa05145	NFKB1	NOS2
hsa05145	NFKB1	IL12A
hsa05145	NFKB1	TNF
hsa05145	NFKB1	BCL2
hsa05145	NFKB1	BIRC8
hsa05145	STAT3	IL12A
hsa05145	STAT3	IL12A
hsa05145	GNAI1	IL12A
hsa05145	GNAI1	IL12A
hsa05145	CD40	IL12A
hsa05145	CD40	IL12A
hsa05162	CD46	MSN
hsa05162	STAT1	IRF9
hsa05162	IFNAR1	JAK1
hsa05162	IL2RA	JAK1
hsa05162	DDX58	MAVS
hsa05162	IFIH1	MAVS
hsa05162	MAVS	TRAF3
hsa05162	MAVS	CHUK
hsa05162	CHUK	NFKBIA
hsa05162	TLR7	MYD88
hsa05162	MYD88	IRAK1
hsa05162	IRAK1	IRF7
hsa05162	TLR2	MYD88
hsa05162	MYD88	IRAK1
hsa05162	IRAK1	TRAF6
hsa05162	MAPK8	FOS
hsa05162	CHUK	NFKBIA
hsa05162	FASLG	FAS
hsa05162	FAS	FADD
hsa05162	TRADD	FADD
hsa05162	FADD	CASP8
hsa05162	CASP8	CASP3
hsa05162	CASP8	BID
hsa05162	BID	BAX
hsa05162	BID	BAK1
hsa05162	CYCS	CASP9
hsa05162	APAF1	CASP9
hsa05162	CASP9	CASP3
hsa05162	IL2	IL2RA
hsa05162	PIK3CA	C05981
hsa05162	C05981	AKT3
hsa05162	JAK1	STAT1
hsa05162	JAK1	STAT1
hsa05162	EIF2AK1	EIF2S1
hsa05162	EIF2AK1	EIF2S1
hsa05162	JAK1	STAT3
hsa05162	JAK1	STAT3
hsa05162	BAD	BCL2
hsa05162	BAD	BCL2L1
hsa05162	BCL2	BAX
hsa05162	BCL2	BAK1
hsa05162	IFNA1	IFNAR1
hsa05162	IRF3	IFNA1
hsa05162	IRF3	IFNB1
hsa05162	NFKB1	IFNA1
hsa05162	NFKB1	IFNB1
hsa05162	IRF7	IFNA1
hsa05162	IRF7	IFNB1
hsa05162	FOS	IL1A
hsa05162	FOS	IL6
hsa05162	FOS	IL12A
hsa05162	NFKB1	IL1A
hsa05162	NFKB1	IL6
hsa05162	NFKB1	IL12A
hsa05162	IRF9	OAS1
hsa05162	IRF9	ADAR
hsa05162	IRF9	MX1
hsa05162	IRF9	EIF2AK1
hsa05162	TP73	BBC3
hsa05162	CD28	PIK3CA
hsa05162	CD28	PIK3CA
hsa05162	TNFAIP3	TRAF6
hsa05162	RCHY1	TP53
hsa05162	RCHY1	TP53
hsa05162	CBLB	PIK3CA
hsa05162	CBLB	PIK3CA
hsa05162	AKT3	GSK3B
hsa05162	AKT3	GSK3B
hsa05162	SLAMF1	IL12A
hsa05162	SLAMF1	IL12A
hsa05162	FCGR2B	IL12A
hsa05162	FCGR2B	IL12A
hsa05162	RACK1	IFNAR1
hsa05162	RACK1	STAT1
hsa05164	DNAJC3	EIF2AK1
hsa05164	OAS1	RNASEL
hsa05164	OAS1	RNASEL
hsa05164	EIF2AK1	EIF2S1
hsa05164	EIF2AK1	EIF2S1
hsa05164	EIF2AK1	MAP2K3
hsa05164	EIF2AK1	MAP2K3
hsa05164	EIF2AK1	MAP2K7
hsa05164	EIF2AK1	MAP2K7
hsa05164	MAP2K3	MAPK14
hsa05164	MAP2K3	MAPK14
hsa05164	MAP2K7	MAPK8
hsa05164	MAP2K7	MAPK8
hsa05164	MAPK8	ATF2
hsa05164	MAPK8	ATF2
hsa05164	TRIM25	DDX58
hsa05164	TRIM25	DDX58
hsa05164	IFIH1	MAVS
hsa05164	EIF2AK1	NFKBIA
hsa05164	EIF2AK1	NFKBIA
hsa05164	IKBKB	NFKBIA
hsa05164	IKBKB	NFKBIA
hsa05164	TLR3	TICAM1
hsa05164	TLR3	MAP2K3
hsa05164	TLR3	MAP2K3
hsa05164	TLR3	MAP2K7
hsa05164	TLR3	MAP2K7
hsa05164	TLR3	PIK3CA
hsa05164	TLR3	PIK3CA
hsa05164	PIK3CA	AKT3
hsa05164	PIK3CA	AKT3
hsa05164	AKT3	IRF3
hsa05164	AKT3	IRF3
hsa05164	AKT3	IRF3
hsa05164	TLR7	MYD88
hsa05164	MYD88	IRAK4
hsa05164	IRAK4	IRF7
hsa05164	TLR4	TICAM1
hsa05164	DDX58	SOCS3
hsa05164	DDX58	SOCS3
hsa05164	IFNB1	IFNAR1
hsa05164	IFNG	IFNGR1
hsa05164	IFNAR1	JAK1
hsa05164	IFNGR1	JAK1
hsa05164	SOCS3	JAK1
hsa05164	JAK1	STAT1
hsa05164	JAK1	STAT1
hsa05164	JAK1	STAT1
hsa05164	JAK1	STAT1
hsa05164	STAT1	CIITA
hsa05164	STAT1	IRF9
hsa05164	CASP1	IL1B
hsa05164	CASP1	IL1B
hsa05164	CASP1	IL18
hsa05164	CASP1	IL18
hsa05164	CASP1	IL33
hsa05164	CASP1	IL33
hsa05164	TNFSF10	TNFRSF10B
hsa05164	FASLG	FAS
hsa05164	CYCS	CASP9
hsa05164	PIK3CA	CASP9
hsa05164	PIK3CA	CASP9
hsa05164	PRKCA	RAF1
hsa05164	PRKCA	RAF1
hsa05164	RAF1	MAP2K1
hsa05164	RAF1	MAP2K1
hsa05164	MAP2K1	MAPK1
hsa05164	MAP2K1	MAPK1
hsa05164	DDX58	MAP2K3
hsa05164	DDX58	MAP2K3
hsa05164	NFKBIA	NFKB1
hsa05164	RSAD2	FDPS
hsa05164	NUP98	RAE1
hsa05164	PIK3CA	GSK3B
hsa05164	PIK3CA	GSK3B
hsa05164	DDX58	MAVS
hsa05164	DDX58	MAP2K7
hsa05164	DDX58	MAP2K7
hsa05164	MAVS	IKBKB
hsa05164	MAVS	IKBKB
hsa05164	TICAM1	IKBKB
hsa05164	TICAM1	IKBKB
hsa05164	IFNB1	RSAD2
hsa05164	IFNB1	RSAD2
hsa05164	ATF2	IL1A
hsa05164	ATF2	IL6
hsa05164	ATF2	IL12A
hsa05164	ATF2	TNF
hsa05164	ATF2	CXCL8
hsa05164	ATF2	CCL2
hsa05164	ATF2	CCL5
hsa05164	ATF2	CXCL10
hsa05164	ATF2	ICAM1
hsa05164	NFKB1	IL1A
hsa05164	NFKB1	IL6
hsa05164	NFKB1	IL12A
hsa05164	NFKB1	TNF
hsa05164	NFKB1	CXCL8
hsa05164	NFKB1	CCL2
hsa05164	NFKB1	CCL5
hsa05164	NFKB1	CXCL10
hsa05164	NFKB1	ICAM1
hsa05164	IRF3	IFNA1
hsa05164	IRF3	IFNB1
hsa05164	IRF7	IFNA1
hsa05164	IRF7	IFNB1
hsa05164	IRF9	MX1
hsa05164	IRF9	OAS1
hsa05164	IRF9	ADAR
hsa05164	IRF9	PML
hsa05164	CIITA	HLA-DMA
hsa04918	CGA	TSHR
hsa04918	TSHR	GNAS
hsa04918	GNAS	ADCY1
hsa04918	ADCY1	C00575
hsa04918	C00575	PRKACA
hsa04918	PRKACA	TTF1
hsa04918	PRKACA	TTF2
hsa04918	PRKACA	PAX8
hsa04918	PRKACA	CREB3
hsa04918	TSHR	GNAQ
hsa04918	GNAQ	PLCB1
hsa04918	PLCB1	C00165
hsa04918	C00165	PRKCA
hsa04918	PRKCA	TTF1
hsa04918	PRKCA	TTF2
hsa04918	PRKCA	PAX8
hsa04918	PRKCA	CREB3
hsa04918	PLCB1	C01245
hsa04918	C01245	ITPR1
hsa04918	TTF1	TG
hsa04918	TTF2	TG
hsa04918	PAX8	TG
hsa04918	CREB3	TG
hsa04918	ASGR1	TG
hsa04918	DUOXA2	DUOX2
hsa04918	C02515	TG
hsa04918	C01060	TG
hsa04918	C02515	TG
hsa04918	C01060	TG
hsa04918	C02465	TG
hsa04918	C01829	TG
hsa04918	C02515	TG
hsa04918	C01060	TG
hsa04918	C02465	TG
hsa04918	C01829	TG
hsa04918	LRP2	TG
hsa05200	CASP3	DCC
hsa05200	PTK2	PIK3CA
hsa05200	ABL1	STAT5A
hsa05200	ABL1	GRB2
hsa05200	TGFA	EGFR
hsa05200	PDGFA	PDGFRA
hsa05200	IGF1	IGF1R
hsa05200	HGF	MET
hsa05200	EGFR	PIK3CA
hsa05200	EGFR	JAK1
hsa05200	ERBB2	PIK3CA
hsa05200	ERBB2	JAK1
hsa05200	EGFR	PLCG1
hsa05200	PDGFRA	PLCG1
hsa05200	PDGFRA	GRB2
hsa05200	PDGFRA	PIK3CA
hsa05200	IGF1R	PLCG1
hsa05200	IGF1R	GRB2
hsa05200	IGF1R	PIK3CA
hsa05200	KIT	PIK3CA
hsa05200	KIT	GRB2
hsa05200	FLT3	PIK3CA
hsa05200	FLT3	GRB2
hsa05200	MET	GRB2
hsa05200	FGFR1	GRB2
hsa05200	GRB2	SOS1
hsa05200	SOS1	HRAS
hsa05200	HRAS	ARAF
hsa05200	HRAS	PIK3CA
hsa05200	HRAS	RASSF1
hsa05200	PRKCA	ARAF
hsa05200	HRAS	RALGDS
hsa05200	RALGDS	RALA
hsa05200	RALA	RALBP1
hsa05200	RALA	PLD1
hsa05200	RALGDS	RHOA
hsa05200	FASLG	FAS
hsa05200	FAS	FADD
hsa05200	FADD	CASP8
hsa05200	CASP8	BID
hsa05200	CYCS	CASP9
hsa05200	DVL1	GSK3B
hsa05200	PML	SPI1
hsa05200	RUNX1	SPI1
hsa05200	RUNX1	CEBPA
hsa05200	MDM2	TP53
hsa05200	SHH	PTCH1
hsa05200	PTCH1	SMO
hsa05200	AKT3	GSK3B
hsa05200	AKT3	GSK3B
hsa05200	AKT3	CASP9
hsa05200	AKT3	CASP9
hsa05200	AKT3	BAD
hsa05200	AKT3	BAD
hsa05200	AKT3	FOXO1
hsa05200	AKT3	FOXO1
hsa05200	AKT3	CDKN1B
hsa05200	AKT3	CDKN1B
hsa05200	AKT3	CDKN1A
hsa05200	AKT3	CDKN1A
hsa05200	AKT3	CHUK
hsa05200	AKT3	CHUK
hsa05200	CHUK	NFKBIA
hsa05200	CHUK	NFKBIA
hsa05200	AKT3	MTOR
hsa05200	AKT3	MTOR
hsa05200	AKT3	MDM2
hsa05200	AKT3	MDM2
hsa05200	JAK1	STAT3
hsa05200	JAK1	STAT3
hsa05200	JAK1	STAT1
hsa05200	JAK1	STAT1
hsa05200	ARAF	MAP2K1
hsa05200	ARAF	MAP2K1
hsa05200	MAP2K1	MAPK1
hsa05200	MAP2K1	MAPK1
hsa05200	MAPK1	JUN
hsa05200	MAPK1	JUN
hsa05200	MAPK1	FOS
hsa05200	MAPK1	FOS
hsa05200	MAPK1	MYC
hsa05200	MAPK1	MYC
hsa05200	RET	HRAS
hsa05200	TFG	HRAS
hsa05200	PRKCA	HRAS
hsa05200	MDM2	TP53
hsa05200	BAD	BCL2L1
hsa05200	RALBP1	RAC1
hsa05200	AR	KLK3
hsa05200	LEF1	BIRC5
hsa05200	LEF1	MYC
hsa05200	LEF1	CCND1
hsa05200	NFKB1	PTGS2
hsa05200	NFKB1	NOS2
hsa05200	NFKB1	BCL2
hsa05200	NFKB1	BIRC8
hsa05200	NFKB1	BCL2L1
hsa05200	NFKB1	TRAF1
hsa05200	NFKB1	CCND1
hsa05200	STAT5A	BCL2L1
hsa05200	STAT3	VEGFD
hsa05200	STAT1	VEGFD
